SantiPingui58,5,1,Morgan_Ladimore,Round of Sixteen,1,Sanne_Chan,Shaxd,MrPengi,Jasco,5
JoelSpanish,5,2,ExodePendragon,Round of Sixteen,1,Spleef Spring Break,,,,
Shaxd,5,1,Max9874,Round of Sixteen,1,,,,,
NexByte,5,0,TerrySP,Round of Sixteen,1,,,,,
Neil_,5,4,Preloa,Round of Sixteen,1,,,,,
Filthy_NonDon,5,4,EatMarkers,Round of Sixteen,1,,,,,
Sanne_Chan,5,1,Merdiah,Round of Sixteen,1,,,,,
Siegessch,5,3,Neji,Round of Sixteen,1,,,,,
Migga,5,4,Jecth,Round of Sixteen,1,,,,,
ShadowFlames,5,3,Yami_Panda,Round of Sixteen,1,,,,,
Jakubusso,5,2,SheriffCy,Round of Sixteen,1,,,,,
RaidIsGreat,5,2,josher17,Round of Sixteen,1,,,,,
MrPengi,5,4,Foofa,Round of Sixteen,1,,,,,
aalidscraft,5,4,Oskis,Round of Sixteen,1,,,,,
Jasco,5,4,JoelSpanish,Eighth Finals,2,,,,,
Shaxd,5,4,NexByte,Eighth Finals,2,,,,,
Neil_,5,3,Filthy_NonDon,Eighth Finals,2,,,,,
Sanne_Chan,5,3,Siegessch,Eighth Finals,2,,,,,
Migga,5,1,ShadowFlames,Eighth Finals,2,,,,,
Jakubusso,5,2,RaidIsGreat,Eighth Finals,2,,,,,
MrPengi,5,4,aalidscraft,Eighth Finals,2,,,,,
Jasco,5,2,ninjakittyjoseph,Quarter Finals,3,,,,,
Shaxd,5,4,Neil_,Quarter Finals,3,,,,,
Sanne_Chan,5,2,Migga,Quarter Finals,3,,,,,
MrPengi,5,3,Jakubusso,Quarter Finals,3,,,,,
Shaxd,5,2,Jasco,Semifinals,4,,,,,
Sanne_Chan,5,4,MrPengi,Semifinals,4,,,,,
MrPengi,5,2,Jasco,Finals,5,,,,,
Sanne_Chan,5,0,Shaxd,Finals,5,,,,,
