_EliteMazex,5,1,EatMarkers,Round 1,1,SantiPingui58,NexByte,Jakubusso,Migga,4
Migga,5,0,NoveKing,Round 1,1,,,,,
Jasco,5,4,Pineapplers,Round 1,1,,,,,
Tucoz,5,3,Sundra,Round 1,1,,,,,
Neil_,5,2,Wezaz,Round 1,1,,,,,
SantiPingui58,5,1,Siegessch,Round of 16,2,,,,,
ExodePendragon,5,3,josher17,Round of 16,2,,,,,
_EliteMazex,5,1,MrPengi,Round of 16,2,,,,,
NexByte,5,0,Jasco,Round of 16,2,,,,,
Jakubusso,5,2,Tucoz,Round of 16,2,,,,,
Neil_,5,4,sheriffCy,Round of 16,2,,,,,
SantiPingui58,5,0,ExodePendragon,Quarter Finals,3,,,,,
Migga,5,3,_EliteMazex,Quarter Finals,3,,,,,
NexByte,5,0,ShadowFlames,Quarter Finals,3,,,,,
Jakubusso,5,2,Neil_,Quarter Finals,3,,,,,
NexByte,5,3,Jakubusso,Semifinals,4,,,,,
