Squatman99,5,3,HansT4,Round of Sixteen,1,Skefull,Jakubusso,Squatman99,Tucoz,5
Szaw,5,4,SheriffCy,Round of Sixteen,1,January Tournament 2017,,,,
Minetelligence,5,2,ExodePendragon,Round of Sixteen,1,,,,,
WiZKiiD,5,0,Chris75S,Round of Sixteen,1,,,,,
Morgan_Ladimore,5,1,Flamooo,Round of Sixteen,1,,,,,
Chuggins,5,2,Max9874,Round of Sixteen,1,,,,,
Jakubusso,5,1,Grichom,Round of Sixteen,1,,,,,
Hobosugapuffz,5,3,ShadowFlames,Round of Sixteen,1,,,,,
Tucoz,5,4,Jugernugget,Round of Sixteen,1,,,,,
aalidscraft,5,4,Felxon_,Round of Sixteen,1,,,,,
Neji,5,4,ParaSyte_,Round of Sixteen,1,,,,,
Cake_Squid,5,3,Alfinzi,Round of Sixteen,1,,,,,
Skefull,5,0,Linutzii,Round of Sixteen,1,,,,,
JoelSpanish,5,3,Vexillologe,Round of Sixteen,1,,,,,
Siegessch,5,1,HarambeGod,Round of Sixteen,1,,,,,
Neil_,5,1,Zaptios,Round of Sixteen,1,,,,,
Squatman99,5,4,Szaw,Eighth Finals,2,,,,,
Minetelligence,5,4,WiZKiiD,Eighth Finals,2,,,,,
Chuggins,5,3,Morgan_Ladimore,Eighth Finals,2,,,,,
Jakubusso,5,3,Hobosugapuffz,Eighth Finals,2,,,,,
Tucoz,5,4,aalidscraft,Eighth Finals,2,,,,,
Cake_Squid,5,4,Neji,Eighth Finals,2,,,,,
Skefull,5,3,JoelSpanish,Eighth Finals,2,,,,,
Neil_,5,4,Siegessch,Eighth Finals,2,,,,,
Squatman99,5,4,Minetelligence,Quarter Finals,3,,,,,
Jakubusso,5,1,Chuggins,Quarter Finals,3,,,,,
Tucoz,5,3,Cake_Squid,Quarter Finals,3,,,,,
Skefull,5,3,Neil_,Quarter Finals,3,,,,,
Jakubusso,5,2,Squatman99,Semifinals,4,,,,,
Skefull,5,3,Tucoz,Semifinals,4,,,,,
Skefull,5,2,Jakubusso,Final,5,,,,,
