Shaxd,5,4,alfi3003,Group Stage: Round 1,1,Skefull,NexByte,Morgan_Ladimore,Drummerocking,16
NexByte,5,2,ItsGili,Group Stage: Round 1,1,Fifa World Cup Edition,,,,
SantiPingui58,5,0,EatMarkers,Group Stage: Round 1,1,,,,,
Skefull,5,0,Neji,Group Stage: Round 1,1,,,,,
Jakubusso,5,2,Sinkun,Group Stage: Round 1,1,,,,,
Ethan2098,5,2,Max9874,Group Stage: Round 1,1,,,,,
Morgan_Ladimore,5,0,Expiredusername,Group Stage: Round 1,1,,,,,
Preloa,5,1,Lucky_Gunz_16,Group Stage: Round 1,1,,,,,
ExodePendragon,5,4,Jasco,Group Stage: Round 1,1,,,,,
Neil_,5,3,ShadowFlames,Group Stage: Round 1,1,,,,,
Tucoz,5,1,GavinatorO,Group Stage: Round 1,1,,,,,
Wezaz,5,4,Haterr,Group Stage: Round 1,1,,,,,
Drummerocking,5,0,TarkinNole,Group Stage: Round 1,1,,,,,
epoz,5,2,JoostOriginalOriginal,Group Stage: Round 1,1,,,,,
Jecth,5,4,josher17,Group Stage: Round 1,1,,,,,
Shaxd,5,3,NexByte,Group Stage: Round 2,2,,,,,
SheriffCy,5,2,EatMarkers,Group Stage: Round 2,2,,,,,
Jakubusso,5,4,Skefull,Group Stage: Round 2,2,,,,,
Ethan2098,5,4,Morgan_Ladimore,Group Stage: Round 2,2,,,,,
Expiredusername,5,4,Max9874,Group Stage: Round 2,2,,,,,
Lucky_Gunz_16,5,2,Porkeroni,Group Stage: Round 2,2,,,,,
Migga,5,4,ExodePendragon,Group Stage: Round 2,2,,,,,
ShadowFlames,5,2,GavinatorO,Group Stage: Round 2,2,,,,,
Drummerocking,5,3,Wezaz,Group Stage: Round 2,2,,,,,
Haterr,5,0,TarkinNole,Group Stage: Round 2,2,,,,,
JoostOriginalOriginal,5,2,josher17,Group Stage: Round 2,2,,,,,
epoz,5,3,Jecth,Group Stage: Round 2,2,,,,,
Shaxd,5,1,ItsGili,Group Stage: Round 3,3,,,,,
NexByte,5,3,alfi3003,Group Stage: Round 3,3,,,,,
SantiPingui58,5,2,SheriffCy,Group Stage: Round 3,3,,,,,
Skefull,5,2,Sinkun,Group Stage: Round 3,3,,,,,
Jakubusso,5,3,Neji,Group Stage: Round 3,3,,,,,
Ethan2098,5,1,Expiredusername,Group Stage: Round 3,3,,,,,
Morgan_Ladimore,5,2,Max9874,Group Stage: Round 3,3,,,,,
Preloa,5,1,Porkeroni,Group Stage: Round 3,3,,,,,
Migga,5,0,Jasco,Group Stage: Round 3,3,,,,,
Neil_,5,2,GavinatorO,Group Stage: Round 3,3,,,,,
Tucoz,5,1,ShadowFlames,Group Stage: Round 3,3,,,,,
Wezaz,5,1,TarkinNole,Group Stage: Round 3,3,,,,,
Drummerocking,5,4,Haterr,Group Stage: Round 3,3,,,,,
Jecth,5,4,JoostOriginalOriginal,Group Stage: Round 3,3,,,,,
josher17,5,3,epoz,Group Stage: Round 3,3,,,,,
ExodePendragon,5,1,SheriffCy,Round 1,4,,,,,
Neil_,5,2,epoz,Round 1,4,,,,,
Preloa,5,4,ExodePendragon,Round 2,5,,,,,
NexByte,5,3,Tucoz,Round 2,5,,,,,
Skefull,5,0,Ethan2098,Round 2,5,,,,,
Drummerocking,5,3,Jecth,Round 2,5,,,,,
Migga,5,2,Neil_,Round 2,5,,,,,
SantiPingui58,5,2,Wezaz,Round 2,5,,,,,
Morgan_Ladimore,5,4,Shaxd,Round 2,5,,,,,
Jakubusso,5,1,Lucky_Gunz_16,Round 2,5,,,,,
SheriffCy,5,1,Lucky_Gunz_16,Loser´s Bracket: Round 1,6,,,,,
epoz,5,4,Jecth,Loser´s Bracket: Round 1,6,,,,,
Shaxd,5,2,SheriffCy,Loser´s Bracket: Round 2,7,,,,,
Wezaz,5,1,Neil_,Loser´s Bracket: Round 2,7,,,,,
Tucoz,5,3,ExodePendragon,Loser´s Bracket: Round 2,7,,,,,
NexByte,5,2,Preloa,Round 3,8,,,,,
Skefull,5,3,Drummerocking,Round 3,8,,,,,
SantiPingui58,5,2,Migga,Round 3,8,,,,,
Morgan_Ladimore,5,3,Jakubusso,Round 3,8,,,,,
Drummerocking,5,2,Shaxd,Loser´s Bracket: Round 3,9,,,,,
Preloa,5,3,Wezaz,Loser´s Bracket: Round 3,9,,,,,
Jakubusso,5,1,epoz,Loser´s Bracket: Round 3,9,,,,,
Tucoz,5,1,Migga,Loser´s Bracket: Round 3,9,,,,,
Drummerocking,5,4,Preloa,Loser´s Bracket: Round 4,10,,,,,
Jakubusso,5,3,Tucoz,Loser´s Bracket: Round 4,10,,,,,
NexByte,5,3,Skefull,Round 4,11,,,,,
Morgan_Ladimore,5,2,SantiPingui58,Round 4,11,,,,,
Drummerocking,5,1,SantiPingui58,Loser´s Bracket: Round 5,12,,,,,
Skefull,5,0,Jakubusso,Loser´s Bracket: Round 5,12,,,,,
Skefull,5,2,Drummerocking,Loser´s Bracket: Round 6,13,,,,,
NexByte,5,3,Morgan_Ladimore,Semifinals,14,,,,,
Skefull,5,3,Morgan_Ladimore,Loser´s Bracket: Round 7,15,,,,,
Skefull,5,1,NexByte,Final,16,,,,,
