Jakubusso,5,0,Vexillologe,Round of Sixteen,1,SantiPingui58,Shaxd,Jakubusso,Sanne_Chan,5
alfi3003,5,4,SheriffCy,Round of Sixteen,1,Grand Prix Of Spleef I,,,,
Neil_,5,2,Linutzii,Round of Sixteen,1,,,,,
JoelSpanish,5,4,cjrenegade1,Round of Sixteen,1,,,,,
Shaxd,5,0,Carpy_,Round of Sixteen,1,,,,,
MrPengi,5,3,Oskiss,Round of Sixteen,1,,,,,
josher17,5,3,Siegessch,Round of Sixteen,1,,,,,
aalidscraft,5,2,Neji,Round of Sixteen,1,,,,,
bluecar63,5,0,HarambeGod,Round of Sixteen,1,,,,,
ShadowFlames,5,4,Hoopdini,Round of Sixteen,1,,,,,
Chuggins,5,4,Migga,Round of Sixteen,1,,,,,
Ferux_,5,3,UniversalGhost,Round of Sixteen,1,,,,,
Sanne_Chan,5,2,TNTkid2006,Round of Sixteen,1,,,,,
Jakubusso,5,3,alfi3003,Eighth Finals,2,,,,,
Neil_,5,2,JoelSpanish,Eighth Finals,2,,,,,
Shaxd,5,2,NiceGuyCharles,Eighth Finals,2,,,,,
aalidscraft,5,0,josher17,Eighth Finals,2,,,,,
SantiPingui58,5,0,bluecar63,Eighth Finals,2,,,,,
Sanne_Chan,5,1,Ferux_,Eighth Finals,2,,,,,
Jakubusso,5,4,Neil_,Quarter Finals,3,,,,,
SantiPingui58,5,2,aalidscraft,Quarter Finals,3,,,,,
Sanne_Chan,5,4,ShadowFlames,Quarter Finals,3,,,,,
Shaxd,5,3,Jakubusso,Semifinals,4,,,,,
SantiPingui58,5,0,Sanne_Chan,Semifinals,4,,,,,
Jakubusso,5,2,Sanne_Chan,Finals,5,,,,,
SantiPingui58,5,1,Shaxd,Finals,5,,,,,
