Foofa,2,1,Beast523,Group Stage: Round 1,1,HoggyHD,Ag501,MineCreator205,A_Flying_waffle,7
Bulc12,3,0,Meapazoid34,Group Stage: Round 1,1,Splegg World Cup 2014,,,,
A_Flying_waffle,2,2,Samme1,Group Stage: Round 1,1,,,,,
failblog123oo0,3,1,xEeeJay,Group Stage: Round 1,1,,,,,
playguru,4,0,tardis9095,Group Stage: Round 1,1,,,,,
LordPepsy,3,0,sammehboiii,Group Stage: Round 1,1,,,,,
MrLamSack,3,1,Ag501,Group Stage: Round 1,1,,,,,
Pacey300m,2,2,Conga_,Group Stage: Round 1,1,,,,,
Jakner12,3,1,katkue,Group Stage: Round 1,1,,,,,
DragonLava,2,2,Assasin_Dom,Group Stage: Round 1,1,,,,,
KrissTex,1,1,HoggyHD,Group Stage: Round 1,1,,,,,
Hobosugapuffs,2,2,rabidleeches,Group Stage: Round 1,1,,,,,
DippyBaby,3,1,_McSuper_,Group Stage: Round 1,1,,,,,
Kaibasan,2,2,AmundS28,Group Stage: Round 1,1,,,,,
MineCreator205,2,2,MRBO55MAN,Group Stage: Round 1,1,,,,,
JudsterHD,2,0,whattis123,Group Stage: Round 1,1,,,,,
Meapazoid34,3,0,Beast523,Group Stage: Round 2,2,,,,,
Foofa,3,1,Bulc12,Group Stage: Round 2,2,,,,,
A_Flying_waffle,3,1,xEeeJay,Group Stage: Round 2,2,,,,,
failblog123oo0,2,2,Samme1,Group Stage: Round 2,2,,,,,
playguru,3,0,sammehboiii,Group Stage: Round 2,2,,,,,
LordPepsy,3,0,tardis9095,Group Stage: Round 2,2,,,,,
Conga_,3,0,MrLamSack,Group Stage: Round 2,2,,,,,
Ag501,4,0,Pacey300m,Group Stage: Round 2,2,,,,,
DragonLava,2,2,katkue,Group Stage: Round 2,2,,,,,
Assasin_Dom,3,0,Jakner12,Group Stage: Round 2,2,,,,,
HoggyHD,2,2,Hobasugapuffs,Group Stage: Round 2,2,,,,,
KrissTex,2,1,rabidleeches,Group Stage: Round 2,2,,,,,
DippyBaby,1,1,AmundS28,Group Stage: Round 2,2,,,,,
_McSuper_,3,1,Kaibasan,Group Stage: Round 2,2,,,,,
MineCreator205,3,0,whattis123,Group Stage: Round 2,2,,,,,
JudsterHD,2,2,MRBO55MAN,Group Stage: Round 2,2,,,,,
Bulc12,3,0,Beast523,Group Stage: Round 3,3,,,,,
Foofa,2,1,Meapazoid34,Group Stage: Round 3,3,,,,,
A_Flying_waffle,2,1,failblog123oo0,Group Stage: Round 3,3,,,,,
Samme1,2,2,xEeeJay,Group Stage: Round 3,3,,,,,
playguru,3,0,LordPepsy,Group Stage: Round 3,3,,,,,
tardis9095,3,0,sammehboiii,Group Stage: Round 3,3,,,,,
MrLamSack,4,0,Pacey300m,Group Stage: Round 3,3,,,,,
Ag501,3,1,Conga_,Group Stage: Round 3,3,,,,,
katkue,0,0,Assasin_Dom,Group Stage: Round 3,3,,,,,
DragonLava,3,0,Jakner12,Group Stage: Round 3,3,,,,,
HoggyHD,4,0,rabidleeches,Group Stage: Round 3,3,,,,,
Hobosugapuffs,1,1,KrissTex,Group Stage: Round 3,3,,,,,
DippyBaby,4,0,Kaibasan,Group Stage: Round 3,3,,,,,
_McSuper_,3,0,AmundS28,Group Stage: Round 3,3,,,,,
MineCreator205,2,1,JudsterHD,Group Stage: Round 3,3,,,,,
whattis123,3,1,MRBO55MAN,Group Stage: Round 3,3,,,,,
failblog123oo0,3,2,Foofa,1/8 Finals,4,,,,,
A_Flying_waffle,3,0,Bulc12,1/8 Finals,4,,,,,
Ag501,3,1,playguru,1/8 Finals,4,,,,,
MrLamSack,4,0,LordPepsy,1/8 Finals,4,,,,,
KrissTex,3,0,DragonLava,1/8 Finals,4,,,,,
HoggyHD,3,1,Assasin_Dom,1/8 Finals,4,,,,,
MineCreator205,3,1,_McSuper_,1/8 Finals,4,,,,,
JudsterHD,2,1,DippyBaby,1/8 Finals,4,,,,,
A_Flying_waffle,2,1,failblog123oo0,1/4 Finals,5,,,,,
Ag501,3,2,MrLamSack,1/4 Finals,5,,,,,
HoggyHD,3,1,KrissTex,1/4 Finals,5,,,,,
MineCreator205,2,1,JudsterHD,1/4 Finals,5,,,,,
Ag501,3,2,A_Flying_waffle,Semifinals,6,,,,,
HoggyHD,2,1,MineCreator205,Semifinals,6,,,,,
MineCreator205,2,0,A_Flying_waffle,Finals,7,,,,,
HoggyHD,3,1,Ag501,Finals,7,,,,,
